user_id,recipient_id,content,post_type,created_at,viewed
169,485,"Accusantium provident libero autem, nesciunt corrupti fuga facilis quisquam perferendis cupiditate quo in, dolorum eius nemo nisi neque provident officia eaque, dolorem nobis a maxime repellendus soluta repudiandae nostrum sed nihil. Consequuntur nam atque minus beatae ullam ab, quos saepe quo eligendi odit incidunt architecto voluptatem animi adipisci, eveniet fuga blanditiis in nihil natus voluptate sunt corporis reprehenderit animi, ut cumque hic consectetur.",message,2023-09-22 10:28:48,False
722,364,"Labore at natus sapiente similique nam nobis possimus vitae quibusdam quaerat eos, reiciendis facilis omnis culpa quam quisquam incidunt illo ad at, ex dolorum saepe, ipsum nihil adipisci nemo quas vel facilis, officia recusandae iure alias nesciunt voluptate? Earum impedit minus assumenda necessitatibus ducimus modi, veniam aperiam quasi quod, minus architecto doloremque minima, recusandae ab dolorum illo rerum amet ullam.",message,2024-02-02 11:26:58,True
763,247,"Laudantium beatae ab fuga illo, deleniti nobis in quis earum voluptatem natus doloremque, voluptatem illo perspiciatis facere, dolore aspernatur ut voluptates nobis unde? Amet sapiente ad optio praesentium animi aperiam sit accusantium nisi dolorum, ipsum qui itaque deleniti consectetur veniam, ad officia voluptatem facilis labore sit reiciendis aperiam velit?",message,2023-08-10 18:27:05,False
316,62,"Quas cumque ullam exercitationem illum at labore eum distinctio aperiam, quidem omnis excepturi ducimus tempore id veniam, architecto maiores earum nesciunt totam dolorem ipsam distinctio voluptatem molestias temporibus, nam eius inventore doloremque repellat rem earum doloribus voluptas dolore tempore, rem asperiores incidunt facilis id quae. Neque doloribus recusandae facilis quisquam repudiandae assumenda dolor, ut veniam neque esse accusamus iste facere nisi numquam molestias repellendus? Ad commodi veritatis at accusamus odit laudantium cum tenetur nesciunt eaque, facilis consectetur voluptatem, possimus enim eos minima perspiciatis modi corrupti ea quae aliquid temporibus?",message,2023-12-01 13:23:55,True
977,111,"Omnis perspiciatis pariatur illo dolorem a inventore nemo perferendis officia nisi, dolores commodi quas unde obcaecati accusamus molestias natus facilis saepe, nobis in animi obcaecati veritatis suscipit at exercitationem asperiores, voluptas expedita suscipit hic tempore aliquam mollitia itaque laboriosam dolor vitae, molestias repellat sunt eos repudiandae maxime voluptas impedit voluptatibus dolores deserunt. Illo ut architecto atque assumenda dolore fugiat molestias pariatur officia, consectetur nihil ipsam deserunt, dicta quas eaque laborum voluptatum illo fugit officia nesciunt vitae, aspernatur excepturi perspiciatis facilis labore minima, nam voluptas veniam voluptatum inventore. Hic voluptate sed vel nesciunt dolorem natus tenetur odio, sunt doloremque quidem dolores blanditiis dolore et quas quos fuga commodi, cumque suscipit corporis nam sit ab odit esse hic, blanditiis nihil assumenda?",message,2024-01-12 22:16:33,False
289,889,"Dignissimos quia accusantium rem in molestias et vero laboriosam debitis dicta, nihil ipsam adipisci ipsa pariatur quae, numquam nihil nostrum. Nulla nihil delectus laudantium ullam commodi minus qui modi, vero maxime veniam, at aliquid hic dolor error asperiores repellat officia similique, error tenetur quos beatae dignissimos omnis ea minima. Saepe aspernatur illum soluta magni sed repudiandae tempore placeat odit, quisquam necessitatibus voluptates odio, praesentium similique consequuntur repudiandae cumque asperiores fugit tempore, numquam deserunt modi sunt voluptate quibusdam labore, odio asperiores accusamus harum deserunt soluta illo ipsa. Ipsum eaque debitis accusantium non a cupiditate dolores iusto facere dignissimos, nihil veritatis esse facere hic sed tempora, inventore enim est beatae, eius asperiores blanditiis.",message,2023-11-17 14:14:35,False
846,262,"Cumque fugit nihil, similique deserunt veniam, numquam necessitatibus veniam quia porro minus temporibus cumque fuga. Ipsum laudantium a et, nisi sapiente amet assumenda natus ratione quasi at quae eaque iure, beatae voluptas nam at illo eveniet modi magnam dolorum deserunt esse. Explicabo perspiciatis velit mollitia dolore aliquam assumenda cum corrupti debitis, reprehenderit laudantium atque quos vel similique, et minus asperiores facere suscipit sint.",message,2024-01-21 19:21:55,False
158,0,"Blanditiis explicabo velit mollitia, praesentium deserunt esse natus consectetur necessitatibus quasi autem, porro voluptatibus ratione doloremque ea modi facilis nesciunt sint incidunt. Iusto exercitationem rem cum nostrum saepe magni temporibus accusamus sunt est, perspiciatis officiis nemo culpa quod incidunt a ex delectus aliquam, nesciunt porro totam id delectus soluta ipsa, excepturi corrupti odio cumque ea dignissimos officia sequi repellendus tempore possimus soluta?",story,2024-01-26 18:35:53,False
179,914,"Voluptate tempora eius dicta fuga alias ratione quibusdam perspiciatis soluta, aspernatur placeat labore reiciendis perferendis quo distinctio aliquam iure incidunt explicabo, mollitia magnam itaque, illum aspernatur est atque placeat deserunt blanditiis molestiae? Incidunt nihil accusantium id reprehenderit explicabo sint adipisci soluta architecto recusandae nostrum, cum dolorem similique officiis voluptatibus excepturi ab earum atque, ducimus quae similique nemo nihil labore sunt, numquam molestias reprehenderit. Libero cum cumque nostrum nisi consequatur quos repudiandae soluta ea, ipsum incidunt magnam necessitatibus vel. At architecto repudiandae delectus aperiam eligendi illum iure animi placeat perferendis numquam, suscipit debitis nostrum, dignissimos laboriosam consequuntur aliquid officia labore eius odio eligendi odit deleniti, sint doloribus eum ipsa quae aliquid laboriosam voluptatibus.",message,2023-12-23 07:45:29,True
511,0,"Eum sunt odit illo veniam nesciunt accusantium repellat, itaque sunt iusto earum corrupti. Id maiores repellat dolorum doloremque hic accusamus, temporibus consequuntur sed ea quibusdam pariatur iure sint, eaque sit dolorem dolores accusamus nostrum numquam esse quasi? Facilis vero doloremque earum corporis, omnis hic laborum tenetur culpa dolores, nulla totam accusamus at nobis. At omnis reprehenderit dolorem, voluptas praesentium ab nulla obcaecati cupiditate omnis illo voluptate, natus nostrum et optio minima dicta, illum architecto reiciendis illo esse laborum minima doloremque repellat pariatur?",story,2023-12-21 21:56:32,False
18,0,"Ab id repudiandae iste aperiam cumque quae veniam, assumenda aspernatur tempore labore excepturi perspiciatis iusto quibusdam fugiat exercitationem dolore possimus, assumenda totam quaerat eius, iusto doloremque iste dicta quis reiciendis exercitationem esse tenetur velit? Obcaecati laboriosam saepe accusantium nisi ipsum perspiciatis harum adipisci nesciunt, tempora suscipit nobis sunt optio eius commodi eligendi dicta laudantium pariatur ipsam, similique est minus aliquid beatae animi assumenda vero perspiciatis adipisci.",story,2024-01-03 19:15:34,False
208,264,"Ad fugiat dolor, harum sed voluptatum exercitationem provident est minima itaque repellat? Tenetur hic non, id accusamus debitis iusto commodi aut quis deleniti et, porro consequatur pariatur nulla perspiciatis quam impedit aspernatur nostrum necessitatibus, dolore assumenda doloremque aspernatur esse sed eligendi laboriosam impedit repellat.",message,2023-11-21 01:31:19,False
711,0,"Fugit commodi porro autem quaerat ipsum qui quisquam, eveniet quidem distinctio, ratione quod quasi aspernatur praesentium, id ex dolorum, laudantium ex distinctio illo laboriosam? Aliquam voluptate sunt repellat fugiat ad eveniet id sapiente dicta magnam, nostrum autem laboriosam sed modi, corrupti sed repellendus mollitia fugiat impedit laboriosam quo nisi, incidunt fuga suscipit vitae voluptatum facere placeat. Accusamus enim fuga esse voluptatibus odio ipsa reiciendis recusandae, hic perferendis veniam.",story,2023-05-16 22:01:56,False
951,0,"Exercitationem sequi eligendi, molestiae odit labore beatae et illum velit voluptatum optio, totam repudiandae deserunt enim sint pariatur deleniti aliquam nulla impedit. Omnis dicta reiciendis libero facere enim dolorum vel velit dolores quibusdam a, voluptatibus sunt omnis optio aliquam, illo non aperiam laboriosam incidunt temporibus sed iure nulla, est in omnis dicta vitae quibusdam earum, consequuntur voluptatem itaque ad. Quas ipsa tenetur deleniti dolor magnam dignissimos doloribus, recusandae nam ratione accusantium perspiciatis architecto esse quisquam enim veritatis sint autem, voluptatibus laborum exercitationem perspiciatis adipisci recusandae amet eveniet, sequi quidem tenetur facilis beatae necessitatibus, sit sint consequatur quae repellendus quisquam cumque autem? Odit repellat libero asperiores ex magnam neque accusantium incidunt, quisquam quo totam esse nemo numquam accusantium voluptatibus debitis, autem officia quod iure.",story,2023-12-26 17:48:20,False
